ID	Symptom	Cause	Repair	time_to_resolve	n_watchers	n_comments	Priority	Project
CAMEL-9107	Crash	Problems in my libraries	Bypassing APIs with bugs	5806	3	7	Minor	CAMEL
CAMEL-9463	Crash	Problems in my libraries	Switching to older versions	2875	4	8	Minor	CAMEL
CASSANDRA-13212	Crash	Problems in my libraries	Modifying the settings of libraries	26	2	3	Normal	CASSANDRA
CAY-2147	Crash	Problems in settings	Modifying my settings	2908	2	1	Major	CAY
CB-10939	Unexpected behavior	Problems in settings	Modifying my settings	310	1	1	Blocker	CB
CB-10950	Crash	Problems in operating systems	Modifying API calls	15901	6	7	Major	CB
CB-11449	Unexpected behavior	Problems in my libraries + Problems in operating systems	Switching to older versions	17	2	5	Major	CB
CB-11974	Unexpected behavior	Outside contributors	Repairing as technical debts	15399	5	8	Major	CB
CB-12002	Unexpected behavior	Flawed repairs	Repairing as technical debts	14506	4	20	Major	CB
CB-12037	Unexpected behavior	Problems in my libraries	Switching to other libraries	15083	7	5	Major	CB
CB-12078	Build and testing error	Flawed repairs	Switching to other techniques	119	2	3	Major	CB
CB-12113	Unexpected behavior	Problems in my libraries	Switching to older versions	18	1	5	Major	CB
CB-12413	Unexpected behavior	Problems in settings	Modifying build files or options	722	3	2	Blocker	CB
CB-12688	Unexpected behavior	Flawed repairs	Modifying the settings of libraries	203	3	8	Major	CB
CB-13038	Unexpected behavior	Incorrect techniques	Switching to other techniques	1217	5	7	Minor	CB
COMPRESS-449	Crash	Problems in languages	Implementing wrappers	338	3	12	Major	COMPRESS
COMPRESS-471	Unexpected behavior	Flawed repairs	Implementing wrappers	288	2	8	Major	COMPRESS
CTAKES-363	Crash	Problems in my clients	Repairing as technical debts	15547	2	3	Major	CTAKES
CTAKES-409	Unexpected behavior	Problems in my libraries	Deep copying	3584	3	3	Major	CTAKES
CTAKES-413	Crash	Incorrect techniques	Switching to other techniques	1724	3	2	Major	CTAKES
CXF-5773	Unexpected behavior	Problems in my libraries	Switching to other techniques + Modifying the settings of libraries 	25014	3	1	Major	CXF
CXF-6747	Unexpected behavior	Problems in my libraries	Switching to other libraries	10437	8	13	Major	CXF
CXF-7127	Unexpected behavior	Problems in my clients	Switching to other libraries + Modifying the settings of libraries 	1	1	2	Major	CXF
CXF-7308	Unexpected behavior	Problems in my libraries	Modifying the settings of libraries	1088	4	5	Major	CXF
CXF-7685	Build and testing error	Problems in my clients	Modifying API calls	35	2	3	Major	CXF
CXF-8103	Unexpected behavior	Problems in my libraries	Modifying my settings	133	2	12	Major	CXF
DERBY-7043	Unexpected behavior	Unavailable resources	Modifying build files or options	20	4	5	Minor	DERBY
